index,R_squared,subid,Skewness_group
exponnorm,0.994894121,sub-201,Positive
norm,0.992204329,sub-201,Positive
exponnorm,0.992669044,sub-202,Positive
norm,0.985884373,sub-202,Positive
exponnorm,0.994516589,sub-203,Positive
norm,0.985718465,sub-203,Positive
exponnorm,0.995138276,sub-204,Positive
norm,0.994368329,sub-204,Positive
exponnorm,0.99719705,sub-206,Positive
norm,0.995862002,sub-206,Positive
exponnorm,0.993632793,sub-209,Positive
norm,0.995161011,sub-209,Positive
exponnorm,0.99646798,sub-211,Positive
norm,0.994697396,sub-211,Positive
exponnorm,0.996303763,sub-212,Positive
norm,0.988482293,sub-212,Positive
exponnorm,0.99006571,sub-213,Positive
norm,0.982840283,sub-213,Positive
exponnorm,0.996044607,sub-215,Negative
norm,0.991799068,sub-215,Negative
exponnorm,0.978622559,sub-217,Positive
norm,0.971027255,sub-217,Positive
exponnorm,0.995536824,sub-219,Positive
norm,0.99211342,sub-219,Positive
exponnorm,0.996107395,sub-221,Positive
norm,0.988722224,sub-221,Positive
exponnorm,0.997192755,sub-224,Positive
norm,0.996460286,sub-224,Positive
exponnorm,0.996790668,sub-225,Positive
norm,0.992910228,sub-225,Positive
exponnorm,0.99659664,sub-226,Positive
norm,0.992681357,sub-226,Positive
exponnorm,0.994326278,sub-227,Positive
norm,0.975980875,sub-227,Positive
exponnorm,0.995638778,sub-229,Positive
norm,0.982377198,sub-229,Positive
exponnorm,0.990730746,sub-230,Positive
norm,0.986415945,sub-230,Positive
exponnorm,0.99629507,sub-231,Negative
norm,0.991105883,sub-231,Negative
exponnorm,0.99427526,sub-232,Positive
norm,0.984284857,sub-232,Positive
exponnorm,0.996218883,sub-234,Positive
norm,0.980382766,sub-234,Positive
exponnorm,0.996211896,sub-237,Positive
norm,0.997765976,sub-237,Positive
exponnorm,0.998305828,sub-239,Positive
norm,0.99454828,sub-239,Positive
exponnorm,0.993468829,sub-240,Positive
norm,0.97934609,sub-240,Positive
exponnorm,0.98293497,sub-242,Negative
norm,0.98074378,sub-242,Negative
exponnorm,0.998278107,sub-243,Positive
norm,0.994696242,sub-243,Positive
exponnorm,0.995564831,sub-246,Positive
norm,0.985624438,sub-246,Positive
exponnorm,0.979354501,sub-247,Negative
norm,0.970573535,sub-247,Negative
